ZS.D005  	46.08918	 11.16478	 646.0
IV.MTRZ  	44.31280	 11.42480	 570.0
Z3.A165A 	46.91020	  3.49840	 271.0
IV.MGAB  	42.91263	 12.11214	 547.0
IV.NARO  	43.61082	 12.58058	 272.0
ZS.D050  	46.52718	 12.17483	2234.0
ZS.D053  	46.69028	 12.76424	1327.0
ZS.D052  	46.60455	 12.52505	1129.0
GR.MILB  	49.82840	  9.29230	 369.0
ZS.D035  	46.63947	 13.27184	1028.0
ZS.D057  	46.81280	 13.48034	 632.0
ZS.D056  	46.77933	 13.33391	1051.0
ZS.D110  	46.86251	 11.94663	 847.0
NI.SABO  	45.98750	 13.63360	 621.0
ZS.D112  	46.91819	 12.31104	1714.0
ZS.D111  	46.87138	 12.11558	1323.0
ZS.D114  	47.02168	 12.68944	1875.0
SX.ROHR  	50.23400	 12.31700	 629.0
IV.OPPE  	45.30820	 11.17240	  20.0
CH.DAVOX 	46.78050	  9.87952	1830.0
GR.GRB1  	49.39135	 11.65195	 494.0
GR.GRB3  	49.34354	 11.80598	 517.0
GR.GRB2  	49.27092	 11.66997	 552.0
GR.GRB5  	49.11213	 11.67673	 525.0
GR.GRB4  	49.46894	 11.56085	 507.0
Z3.A415A 	42.41190	  6.41093	-2595.0
Z3.A011A 	47.39076	 16.00769	 507.0
IV.LATE  	42.61370	 11.80400	 610.0
OE.WATA  	47.33570	 11.57630	1492.0
Z3.A151A 	48.88200	  6.37985	 214.0
FR.RONF  	47.71069	  6.64720	 415.0
CH.BOURR 	47.39364	  7.23010	 846.8
CH.ZUR   	47.36921	  8.58088	 510.0
IV.RMP   	41.81112	 12.70222	 380.0
HU.BUD   	47.48310	 19.02010	 196.0
OE.ABTA  	46.74740	 12.51230	1041.0
CH.ILLEZ 	46.21934	  6.94038	1395.0
Z3.A309A 	44.17035	 12.24451	  32.0
NI.VINO  	46.25383	 13.27550	 608.0
Z3.A339A 	47.82940	 17.65588	 110.0
Z3.A126A 	48.98935	  8.49214	 182.0
ZS.D122A 	46.58789	 10.16830	1840.0
FR.FLAF  	43.38270	  6.25480	  62.0
IV.T1256 	43.00631	 13.22604	1536.0
Z3.A084A 	48.94340	 15.70070	 403.0
TH.VITZ  	50.88760	 10.09165	 392.0
CH.JAUN  	46.63395	  7.29096	1658.0
SL.PERS  	46.63650	 15.11390	 795.0
OX.PRED  	46.44280	 13.56500	 902.0
GU.PZZ   	44.50680	  7.11600	1430.0
IV.OFFI  	42.93500	 13.68570	 320.0
Z3.A060B 	46.99300	  7.97764	1049.1
GU.RSP   	45.14817	  7.26533	1285.0
Z3.A076A 	49.61680	 14.14940	 532.0
Z3.A206A 	43.21970	  6.60100	 363.0
OE.KBA   	47.07840	 13.34470	1721.0
FR.RUSF  	43.93630	  5.46560	 491.2
FR.SMPL  	42.09450	  9.28470	 405.0
RD.SAVF  	48.61520	  5.12410	 264.0
OX.BAD   	46.23400	 13.24380	 590.0
GU.MAIM  	43.91417	 10.49150	 200.0
IV.MAON  	42.42828	 11.13090	 237.0
Z3.A016A 	48.30137	 14.64961	 565.0
IV.VVLD  	41.86965	 13.62324	1051.0
ZS.D016A 	46.60767	 13.58450	 804.0
FR.SAUF  	43.93770	  5.10640	 230.0
IV.MRGE  	45.76975	  7.06101	1660.0
Z3.A180A 	45.31130	  4.04270	 845.0
Z3.A351A 	50.00300	 10.79220	 284.0
ZS.D115  	47.06839	 12.87659	1900.0
MN.TRI   	45.70900	 13.76400	 161.0
Z3.A028A 	47.10295	 13.99576	1105.0
OX.CIMO  	46.31160	 12.44480	 710.0
OE.SOKA  	46.67800	 15.03270	1008.5
NI.CGRP  	45.88060	 11.80470	1757.0
TH.MOB2  	50.69544	 12.31685	 364.0
Z3.A104A 	48.06278	  9.71035	 575.0
OX.MARN  	45.63780	 11.20990	 785.0
HU.CSKK  	47.36310	 18.26060	 320.0
Z3.A104B 	48.07570	  9.70320	 588.0
Z3.A423A 	42.17840	  6.96405	-2706.0
SI.MOSI  	46.61640	 10.54950	1957.0
Z3.A285A 	44.89390	  9.90980	 152.0
NI.PALA  	46.24500	 12.92400	1280.0
FR.OG02  	46.15423	  6.22021	 606.0
ZS.D116  	47.12934	 13.07921	1204.0
Z3.A168A 	46.56040	  3.93290	 125.0
CH.VANNI 	46.21006	  7.59678	1520.0
Z3.A034A 	46.90914	 13.07875	1050.0
ST.DOSS  	45.88080	 11.18840	1660.0
Z3.A002A 	48.31753	 16.61523	 162.0
Z3.A002B 	48.36288	 16.59421	 187.0
IV.SSFR  	43.43628	 12.78225	 750.0
Z3.A112A 	49.64997	  7.90845	 481.0
IV.CAVE  	44.86580	 11.00310	  18.0
Z3.A199A 	43.74380	  3.68830	 341.0
Z3.A363A 	48.52300	 10.93330	 635.0
Z3.A103C 	47.79008	  9.51353	 598.0
XT.AAE23 	48.64182	 13.42774	 490.0
CH.SENIN 	46.36335	  7.29938	2019.6
CH.MMK   	46.05070	  7.96409	2200.0
Z3.A260A 	47.28342	 16.70556	 243.0
FR.PIAF  	44.11644	  7.61747	 937.0
Z3.A430A 	42.17790	  7.98092	-2752.0
GU.REMY  	45.83780	  7.15650	2448.0
Z3.A202A 	43.50250	  3.26020	 212.0
BW.MGS04 	47.97970	 11.71880	 615.0
Z3.A129A 	49.34262	  7.74195	 364.0
OE.MOA   	47.84950	 14.26590	 572.0
GU.CANO  	44.20750	  8.23720	 638.0
IV.SACS  	42.84906	 11.90967	 845.0
OE.MOTA  	47.34480	 11.10370	1575.0
GR.BFO   	48.33007	  8.32956	 589.0
XT.AAE25 	48.46699	 13.40763	 392.0
