Z3.A162A	47.30550	  4.57935	 567.0
Z3.A261A	46.95204	 17.14856	 171.0
CH.BNALP	46.87190	  8.42610	1540.0
YW.EPIR	45.45440	  6.29608	 381.0
CH.MTI02	47.37927	  7.16525	 508.0
CH.SGT05	47.44186	  9.45595	 856.0
ZS.D066	46.45639	 11.11825	 931.0
ZS.D102	46.53063	 10.45262	2852.0
ZS.D149	46.06028	 11.74996	 789.1
IV.GUMA	43.06270	 13.33520	 574.0
IV.TERO	42.62279	 13.60393	 673.0
Z3.A365A	48.16508	 10.73336	 606.0
FR.EILF	43.54790	  7.13120	  30.0
Z3.A190A	44.32460	  2.86950	 940.0
IV.CASP	42.79080	 10.86520	 390.0
OE.BIOA	47.69130	 13.63830	 614.0
FR.NEEW	48.95597	  8.10404	 168.0
IV.FROS	43.20972	 11.15622	 432.0
IU.GRFO	49.69090	 11.22030	 384.0
FR.CHMF	47.24840	  6.65170	 868.0
GU.GSCL	44.35060	 10.58800	 650.0
IV.MILN	45.48030	  9.23210	 125.0
Z3.A254A	45.31480	 15.80500	 543.0
Z3.A052A	45.10260	 17.51390	 139.0
IV.ATFO	43.36660	 12.57150	 960.0
Z3.A008A	48.36866	 15.65219	 242.0
Z3.A141A	47.75280	 11.84916	 878.0
ZS.D004	46.01741	 10.80903	 840.0
ZS.D079	47.04946	 13.90524	1168.0
FR.BOUC	47.24694	  6.25606	 458.0
FR.FRNF	45.38500	  2.56300	 530.0
ZS.D048	46.47831	 11.76684	1464.0
FR.OG02	46.15423	  6.22021	 606.0
OX.BOO	46.31950	 13.09840	 444.0
Z3.A319A	43.47642	 10.57869	 343.0
ZS.D032	46.52539	 12.71387	1003.0
IV.SEI	44.05428	 11.35855	 610.0
Z3.A306A	44.53592	 10.59612	 463.0
ZS.D090	46.77144	 12.09082	1404.0
Z3.A420A	43.45373	  9.19548	-1354.0
OE.MOTA	47.34480	 11.10370	1575.0
Z3.A022A	48.63481	 14.73259	 777.0
Z3.A004A	47.96288	 16.39706	 188.0
Z3.A430A	42.17790	  7.98092	-2752.0
SX.SCHF	50.67720	 12.40310	 384.0
CH.LAUCH	46.41554	  7.77166	2160.0
Z3.A369A	49.11614	 11.02161	 497.0
GU.CIRO	45.60190	  7.56810	2462.0
Z3.A073A	49.99160	 13.23310	 407.0
BW.RMOA	47.76166	 12.86447	 815.0
IV.ZONE	45.76358	 10.11707	 691.0
Z3.A100A	48.45300	  8.92609	 508.0
C4.CERN5	46.30989	  6.07608	 418.2
Z3.A419A	43.29130	  8.60200	-2585.0
CH.EMING	47.89519	  8.84676	 619.0
ZS.D151	46.15470	 12.18499	 476.0
ZS.D035	46.63947	 13.27184	1028.0
Z3.A212A	48.09310	  5.04440	 358.0
GU.TRAV	45.51220	  7.74610	 973.0
FR.ISO	44.18400	  7.05000	 910.0
IV.SACS	42.84906	 11.90967	 845.0
HU.BEHE	46.47030	 16.77550	 303.0
FR.OGSI	46.05648	  6.75687	 750.0
Z3.A104A	48.06278	  9.71035	 575.0
Z3.A026A	46.93318	 14.55155	 800.0
CH.SIMPL	46.23962	  8.01958	1930.0
Z3.A036A	47.37890	 12.30843	1020.0
Z3.A302A	45.63353	 11.97132	  26.0
ZS.D072	46.77748	 12.58904	1168.0
IV.BOB	44.76792	  9.44782	 910.0
ZS.D111	46.87138	 12.11558	1323.0
ZS.D116	47.12934	 13.07921	1204.0
ZS.D120	47.24179	 13.80390	1284.0
CH.ROMAN	47.56430	  9.33601	 442.0
ZS.D044	46.31763	 11.09209	 789.0
